pisode: 0, steps: 0, FPS: 1.0
Episode: 119, steps: 11723, FPS: 8.933840837005674
Episode: 120, steps: 11823, FPS: 8.792845764151396
Episode: 121, steps: 11923, FPS: 9.019221232682764
Episode: 122, steps: 12023, FPS: 7.946682296981752
Episode: 123, steps: 12123, FPS: 8.522911190690305
Episode: 124, steps: 12223, FPS: 8.780293593739941
Episode: 125, steps: 12323, FPS: 9.359431220145908
Episode: 126, steps: 12423, FPS: 9.092195777384946
Episode: 127, steps: 12523, FPS: 9.058314093735168
Episode: 128, steps: 12623, FPS: 8.99877941522221
Episode: 129, steps: 12723, FPS: 8.875379879094876
Episode: 130, steps: 12823, FPS: 8.78567055250225
Episode: 131, steps: 12923, FPS: 8.801352387302408
Episode: 132, steps: 13023, FPS: 8.839171555017984
Episode: 133, steps: 13123, FPS: 9.036650161520702
Episode: 134, steps: 13223, FPS: 8.71235819540976
Episode: 135, steps: 13323, FPS: 9.111907814035602
Episode: 136, steps: 13423, FPS: 8.966929686204338
Episode: 137, steps: 13523, FPS: 8.746975572996728
Episode: 138, steps: 13623, FPS: 9.135874601690146
Episode: 139, steps: 13723, FPS: 8.862455782617056
Episode: 140, steps: 13823, FPS: 8.765370347579223
Episode: 141, steps: 13923, FPS: 9.179543457890553
Episode: 142, steps: 14023, FPS: 7.857271599504019
Episode: 143, steps: 14123, FPS: 8.88974194097245
Episode: 144, steps: 14223, FPS: 8.298273812884212
Episode: 145, steps: 14323, FPS: 8.943022819190245
Episode: 146, steps: 14354, FPS: 7.2238610829398
Episode: 147, steps: 14454, FPS: 8.77815469331401
Episode: 148, steps: 14554, FPS: 8.788572086994238
Episode: 149, steps: 14654, FPS: 8.042290717854469
Episode: 150, steps: 14754, FPS: 8.654490750715313
Episode: 151, steps: 14854, FPS: 9.155981111422008
Episode: 152, steps: 14954, FPS: 8.957317109271035
Episode: 153, steps: 15054, FPS: 8.718564041568744
Episode: 154, steps: 15091, FPS: 7.527666059432097
Episode: 155, steps: 15191, FPS: 8.542849227383067
Episode: 156, steps: 15291, FPS: 8.5031351274317
Episode: 157, steps: 15391, FPS: 8.441482268929343
Episode: 158, steps: 15491, FPS: 8.819846078093558
Episode: 159, steps: 15591, FPS: 9.106346226524177
Episode: 160, steps: 15691, FPS: 8.318942702833393
Episode: 161, steps: 15791, FPS: 8.859636263706042
Episode: 162, steps: 15891, FPS: 8.812871134212783
Episode: 163, steps: 15991, FPS: 8.371041080207602
Episode: 164, steps: 16091, FPS: 7.8049358845141725
Episode: 165, steps: 16150, FPS: 7.368591555580697
Episode: 166, steps: 16250, FPS: 8.08130355041744
Episode: 167, steps: 16350, FPS: 9.23304874272869
Episode: 168, steps: 16450, FPS: 9.116594029052305
Episode: 169, steps: 16550, FPS: 8.878710163801182
Episode: 170, steps: 16650, FPS: 8.171465936647788
Episode: 171, steps: 16750, FPS: 8.972605770866355
Episode: 172, steps: 16850, FPS: 9.254833473287412
Episode: 173, steps: 16950, FPS: 8.929576415589954
Episode: 174, steps: 17050, FPS: 8.095590583611413
Episode: 175, steps: 17150, FPS: 8.646397163951175
Episode: 176, steps: 17250, FPS: 8.657528669851564
Episode: 177, steps: 17350, FPS: 8.550820623005203
Episode: 178, steps: 17450, FPS: 9.014621327014046
Episode: 179, steps: 17550, FPS: 8.660444607757585
Episode: 180, steps: 17599, FPS: 7.994774838359619
Episode: 181, steps: 17699, FPS: 8.762000204972518
Episode: 182, steps: 17799, FPS: 9.107627018672407
Episode: 183, steps: 17899, FPS: 8.887657538494887
Episode: 184, steps: 17998, FPS: 9.169190343098302
Episode: 185, steps: 18098, FPS: 8.811846208136942
Episode: 186, steps: 18198, FPS: 8.639965996904397
Episode: 187, steps: 18298, FPS: 9.284396342757294
Episode: 188, steps: 18398, FPS: 9.113802466280037
Episode: 189, steps: 18463, FPS: 8.135475634002779
Episode: 190, steps: 18563, FPS: 8.871067227250798
Episode: 191, steps: 18663, FPS: 8.181817030011379
Episode: 192, steps: 18763, FPS: 8.124866156581668
Episode: 193, steps: 18863, FPS: 8.805063988359537
Episode: 194, steps: 18963, FPS: 8.851274456958132
Episode: 195, steps: 19063, FPS: 8.839659226386289
Episode: 196, steps: 19163, FPS: 9.038921725496957
Episode: 197, steps: 19263, FPS: 9.031643874821723
Episode: 198, steps: 19363, FPS: 8.929890764672587
Episode: 199, steps: 19463, FPS: 8.520227118792151
Episode: 200, steps: 19521, FPS: 8.313345451870138
Episode: 201, steps: 19621, FPS: 8.735627606487297
Episode: 202, steps: 19721, FPS: 8.549138129225078
Episode: 203, steps: 19821, FPS: 8.375488170945529
Episode: 204, steps: 19921, FPS: 9.11552019397109
Episode: 205, steps: 20021, FPS: 8.702322593747319
Episode: 206, steps: 20121, FPS: 9.090194816020015
Episode: 207, steps: 20221, FPS: 9.095306273340654
Episode: 208, steps: 20321, FPS: 8.939909563189119
Episode: 209, steps: 20421, FPS: 8.835944025931942
Episode: 210, steps: 20521, FPS: 8.801813583140664
Episode: 211, steps: 20621, FPS: 8.466629415136723
Episode: 212, steps: 20721, FPS: 9.099767634357773
Episode: 213, steps: 20821, FPS: 9.113595809952422
Episode: 214, steps: 20921, FPS: 8.391976921745238
Episode: 215, steps: 21021, FPS: 8.81841015127167
Episode: 216, steps: 21121, FPS: 8.642077215517002
Episode: 217, steps: 21221, FPS: 9.181647632945204
Episode: 218, steps: 21321, FPS: 8.924858568939406
Episode: 219, steps: 21421, FPS: 8.94751950085384
Episode: 220, steps: 21521, FPS: 8.53371220053876
Episode: 221, steps: 21621, FPS: 9.106243849183429
Episode: 222, steps: 21721, FPS: 8.958524682161684
Episode: 223, steps: 21821, FPS: 9.062194453554481
Episode: 224, steps: 21921, FPS: 9.025844988533095
Episode: 225, steps: 21978, FPS: 8.376884117390603
Episode: 226, steps: 22078, FPS: 8.72785865616286
Episode: 227, steps: 22178, FPS: 9.257645957694281
Episode: 228, steps: 22278, FPS: 8.980035636537167
Episode: 229, steps: 22378, FPS: 8.706276407087334
Episode: 230, steps: 22478, FPS: 8.75299971114306
Episode: 231, steps: 22578, FPS: 8.592704468832158
Episode: 232, steps: 22678, FPS: 8.667684439553321
Episode: 233, steps: 22778, FPS: 8.864027944750363
Episode: 234, steps: 22878, FPS: 8.445251388072355
Episode: 235, steps: 22939, FPS: 6.964991580842182
Episode: 236, steps: 23039, FPS: 9.216907574515963
Episode: 237, steps: 23139, FPS: 8.721093561357005
Episode: 238, steps: 23239, FPS: 9.041200606544667
Episode: 239, steps: 23339, FPS: 8.856024223618547
Episode: 240, steps: 23439, FPS: 8.873156120738264
Episode: 241, steps: 23539, FPS: 8.923713252312737
Episode: 242, steps: 23600, FPS: 7.956547210127814
Episode: 243, steps: 23700, FPS: 8.764911149343058
Episode: 244, steps: 23800, FPS: 8.339701841547228
Episode: 245, steps: 23841, FPS: 7.4783931798166625
Episode: 246, steps: 23941, FPS: 8.605846665472564
Episode: 247, steps: 24041, FPS: 8.959799285127545
Episode: 248, steps: 24141, FPS: 8.704453132499859
Episode: 249, steps: 24241, FPS: 8.620918537864332
Episode: 250, steps: 24341, FPS: 8.629456120318078
Episode: 251, steps: 24441, FPS: 8.76961894253092
Episode: 252, steps: 24541, FPS: 8.037533929373929
Episode: 253, steps: 24641, FPS: 8.742888541358468
Episode: 254, steps: 24741, FPS: 8.992705740355095
Episode: 255, steps: 24841, FPS: 8.798361456817352
Episode: 256, steps: 24941, FPS: 7.899917389510779
Episode: 257, steps: 25041, FPS: 8.77722038864202
Episode: 258, steps: 25141, FPS: 9.149693057146502
Episode: 259, steps: 25241, FPS: 8.705156448184365
Episode: 260, steps: 25289, FPS: 8.108318328222916
Episode: 261, steps: 25389, FPS: 8.597363563981437
Episode: 262, steps: 25489, FPS: 8.681997628370688
Episode: 263, steps: 25589, FPS: 9.251174908223586
Episode: 264, steps: 25689, FPS: 8.770930970504475
Episode: 265, steps: 25789, FPS: 8.974486848069676
Episode: 266, steps: 25889, FPS: 8.776172647164218
Episode: 267, steps: 25989, FPS: 9.036802835905902
Episode: 268, steps: 26089, FPS: 8.730933194943608
Episode: 269, steps: 26189, FPS: 8.665586218086585
Episode: 270, steps: 26289, FPS: 8.235123400773881
Episode: 271, steps: 26389, FPS: 8.966509478980296
Episode: 272, steps: 26489, FPS: 8.694969481739022
Episode: 273, steps: 26589, FPS: 9.029386552054426
Episode: 274, steps: 26689, FPS: 9.040701635338955
Episode: 275, steps: 26789, FPS: 8.183734289102725
Episode: 276, steps: 26889, FPS: 8.250883597455932
Episode: 277, steps: 26989, FPS: 9.006529204062081
Episode: 278, steps: 27089, FPS: 8.56740551174016
Episode: 279, steps: 27189, FPS: 8.860084130753663
Episode: 280, steps: 27289, FPS: 8.707897995513967
Episode: 281, steps: 27389, FPS: 9.058727840449095
Episode: 282, steps: 27489, FPS: 8.846792677521552
Episode: 283, steps: 27589, FPS: 9.055865703956302
Episode: 284, steps: 27689, FPS: 8.195258642253288
Episode: 285, steps: 27778, FPS: 8.584526544779289
Episode: 286, steps: 27878, FPS: 9.031578406968526
Episode: 287, steps: 27978, FPS: 9.267172062689419
Episode: 288, steps: 28078, FPS: 8.850913284306117
Episode: 289, steps: 28178, FPS: 9.069585721159687
Episode: 290, steps: 28278, FPS: 8.99637016783092
Episode: 291, steps: 28378, FPS: 8.73707832391691
Episode: 292, steps: 28478, FPS: 7.896638213522227
Episode: 293, steps: 28578, FPS: 9.061799968110142
Episode: 294, steps: 28678, FPS: 9.122924475355294
Episode: 295, steps: 28768, FPS: 8.827101340153416
Episode: 296, steps: 28868, FPS: 9.010721218311193
Episode: 297, steps: 28968, FPS: 7.731747091341632
Episode: 298, steps: 29068, FPS: 8.650162359755731
Episode: 299, steps: 29168, FPS: 8.708454174247404
Episode: 300, steps: 29268, FPS: 8.66193864719777
Episode: 301, steps: 29368, FPS: 8.773732463240805
Episode: 302, steps: 29468, FPS: 8.867968588288333
Episode: 303, steps: 29568, FPS: 8.722701636263633
Episode: 304, steps: 29668, FPS: 8.530320268065188
Episode: 305, steps: 29768, FPS: 8.685672266992492
Episode: 306, steps: 29868, FPS: 8.951015361210303
Episode: 307, steps: 29968, FPS: 9.118133620866393
Episode: 308, steps: 30068, FPS: 9.14441193527429
Episode: 309, steps: 30168, FPS: 7.4683594148871055
Episode: 310, steps: 30268, FPS: 8.340723165076538
Episode: 311, steps: 30368, FPS: 8.872385074075384
Episode: 312, steps: 30468, FPS: 8.486494759594589
Episode: 313, steps: 30568, FPS: 8.515206012751722
Episode: 314, steps: 30668, FPS: 8.824136446855373
Episode: 315, steps: 30766, FPS: 9.01954151000413
Episode: 316, steps: 30866, FPS: 8.961446176295002
Episode: 317, steps: 30966, FPS: 8.728386275244036
Episode: 318, steps: 31066, FPS: 8.868697277533611
Episode: 319, steps: 31166, FPS: 8.590932106391557
Episode: 320, steps: 31266, FPS: 8.544713658049286
Episode: 321, steps: 31366, FPS: 8.743231207024111
Episode: 322, steps: 31466, FPS: 8.704592641834463
Episode: 323, steps: 31566, FPS: 8.303195575619178
Episode: 324, steps: 31666, FPS: 8.661398842294489
Episode: 325, steps: 31748, FPS: 8.730418614775774
Episode: 326, steps: 31848, FPS: 8.969586215998204
Episode: 327, steps: 31948, FPS: 8.954844258634981
Episode: 328, steps: 32048, FPS: 8.795792584051085
Episode: 329, steps: 32148, FPS: 8.92964700103195
Episode: 330, steps: 32248, FPS: 8.953333386734585
Episode: 331, steps: 32348, FPS: 8.170108085422331
Episode: 332, steps: 32448, FPS: 8.673185699315894
Episode: 333, steps: 32503, FPS: 8.161109211099575
Episode: 334, steps: 32603, FPS: 7.813703544053087
Episode: 335, steps: 32703, FPS: 8.695014098401787
Episode: 336, steps: 32803, FPS: 8.652758733241363
Episode: 337, steps: 32903, FPS: 8.781577507205615
Episode: 338, steps: 33003, FPS: 9.118740102971609
Episode: 339, steps: 33103, FPS: 8.161461752006444
Episode: 340, steps: 33203, FPS: 9.026721607699182
Episode: 341, steps: 33303, FPS: 8.873839191572523
Episode: 342, steps: 33403, FPS: 8.88233291478794
Episode: 343, steps: 33503, FPS: 8.446946627802078
Episode: 344, steps: 33603, FPS: 8.003785365656059
Episode: 345, steps: 33703, FPS: 8.837722691730734
Episode: 346, steps: 33803, FPS: 8.811903763397456
Episode: 347, steps: 33903, FPS: 9.089617089165811
Episode: 348, steps: 34003, FPS: 8.583738298297337
